"Код заказа","Клиент","Сотрудник","Дата размещения","Дата назначения","Дата исполнения","Доставка","Стоимость доставки","Получатель","Адрес получателя","Город получателя","Область получателя","Индекс получателя","Страна получателя"
10389,"Bottom-Dollar Markets","Воронова, Дарья",20-12-1996,17-01-1997,24-12-1996,"Почта","47,42р.","Bottom-Dollar Markets","23 Tsawassen Blvd.","Тсавассен","BC","T2F 8M4","Канада"
10390,"Ernst Handel","Акбаев, Иван",23-12-1996,20-01-1997,26-12-1996,"Ространс","126,38р.","Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10391,"Drachenblut Delikatessen","Бабкина, Ольга",23-12-1996,20-01-1997,31-12-1996,"Иное","5,45р.","Drachenblut Delikatessen","Walserweg 21","Ахен",,"52066","Германия"
10392,"Piccolo und mehr","Новиков, Павел",24-12-1996,21-01-1997,01-01-1997,"Иное","122,46р.","Piccolo und mehr","Geislweg 14","Зальцбург",,"5020","Австрия"
10393,"Save-a-lot Markets","Белова, Мария",25-12-1996,22-01-1997,03-01-1997,"Иное","126,56р.","Save-a-lot Markets","187 Suffolk Ln.","Буа","ID","83720","США"
10394,"Hungry Coyote Import Store","Белова, Мария",25-12-1996,22-01-1997,03-01-1997,"Иное","30,34р.","Hungry Coyote Import Store","City Center Plaza
516 Main St.","Элгин","OR","97827","США"
10395,"HILARION-Abastos","Акбаев, Иван",26-12-1996,23-01-1997,03-01-1997,"Ространс","184,41р.","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","Сан-Кристобаль","Tochira","5022","Венесуэлла"
10396,"Frankenversand","Белова, Мария",27-12-1996,10-01-1997,06-01-1997,"Иное","135,35р.","Frankenversand","Berliner Platz 43","Мюнхен",,"80805","Германия"
10397,"Princesa Isabel Vinhos","Кротов, Андрей",27-12-1996,24-01-1997,02-01-1997,"Ространс","60,26р.","Princesa Isabel Vinhos","Estrada da saude n. 58","Лиссабон",,"1756","Португалия"
10398,"Save-a-lot Markets","Новиков, Павел",30-12-1996,27-01-1997,09-01-1997,"Иное","89,16р.","Save-a-lot Markets","187 Suffolk Ln.","Буа","ID","83720","США"
10399,"Vaffeljernet","Крылова, Анна",31-12-1996,14-01-1997,08-01-1997,"Иное","27,36р.","Vaffeljernet","Smagsloget 45","Орхус",,"8200","Дания"
10400,"Eastern Connection","Белова, Мария",01-01-1997,29-01-1997,16-01-1997,"Иное","83,93р.","Eastern Connection","35 King George","Лондон",,"WX3 6FW","Великобритания"
10401,"Rattlesnake Canyon Grocery","Белова, Мария",01-01-1997,29-01-1997,10-01-1997,"Ространс","12,51р.","Rattlesnake Canyon Grocery","2817 Milton Dr.","Альбукерке","NM","87110","США"
10402,"Ernst Handel","Крылова, Анна",02-01-1997,13-02-1997,10-01-1997,"Почта","67,88р.","Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10403,"Ernst Handel","Воронова, Дарья",03-01-1997,31-01-1997,09-01-1997,"Иное","73,79р.","Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10404,"Magazzini Alimentari Riuniti","Новиков, Павел",03-01-1997,31-01-1997,08-01-1997,"Ространс","155,97р.","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Бергамо",,"24100","Италия"
10405,"LINO-Delicateses","Белова, Мария",06-01-1997,03-02-1997,22-01-1997,"Ространс","34,82р.","LINO-Delicateses","Ave. 5 de Mayo Porlamar","О-в Маргариты","Nueva Esparta","4980","Венесуэлла"
10406,"Queen Cozinha","Кралев, Петр",07-01-1997,18-02-1997,13-01-1997,"Ространс","108,04р.","Queen Cozinha","Alameda dos Canarios, 891","Сан-Пауло","SP","05487-020","Бразилия"
10407,"Ottilies Kaseladen","Новиков, Павел",07-01-1997,04-02-1997,30-01-1997,"Почта","91,48р.","Ottilies Kaseladen","Mehrheimerstr. 369","Кельн",,"50739","Германия"
10408,"Folies gourmandes","Крылова, Анна",08-01-1997,05-02-1997,14-01-1997,"Ространс","11,26р.","Folies gourmandes","184, chaussee de Tournai","Лилль",,"59000","Франция"
10409,"Oceano Atlantico Ltda.","Бабкина, Ольга",09-01-1997,06-02-1997,14-01-1997,"Ространс","29,83р.","Oceano Atlantico Ltda.","Ing. Gustavo Moncada 8585
Piso 20-A","Буэнос-Айрес",,"1010","Аргентина"
10410,"Bottom-Dollar Markets","Бабкина, Ольга",10-01-1997,07-02-1997,15-01-1997,"Иное","2,40р.","Bottom-Dollar Markets","23 Tsawassen Blvd.","Тсавассен","BC","T2F 8M4","Канада"
10411,"Bottom-Dollar Markets","Ясенева, Инна",10-01-1997,07-02-1997,21-01-1997,"Иное","23,65р.","Bottom-Dollar Markets","23 Tsawassen Blvd.","Тсавассен","BC","T2F 8M4","Канада"
10412,"Wartian Herkku","Крылова, Анна",13-01-1997,10-02-1997,15-01-1997,"Почта","3,77р.","Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10413,"La maison d'Asie","Бабкина, Ольга",14-01-1997,11-02-1997,16-01-1997,"Почта","95,66р.","La maison d'Asie","1 rue Alsace-Lorraine","Тулуза",,"31000","Франция"
10414,"Familia Arquibaldo","Новиков, Павел",14-01-1997,11-02-1997,17-01-1997,"Иное","21,48р.","Familia Arquibaldo","Rua Oros, 92","Сан-Пауло","SP","05442-030","Бразилия"
10415,"Hungry Coyote Import Store","Бабкина, Ольга",15-01-1997,12-02-1997,24-01-1997,"Ространс","0,20р.","Hungry Coyote Import Store","City Center Plaza
516 Main St.","Элгин","OR","97827","США"
10416,"Wartian Herkku","Крылова, Анна",16-01-1997,13-02-1997,27-01-1997,"Иное","22,72р.","Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10417,"Simons bistro","Воронова, Дарья",16-01-1997,13-02-1997,28-01-1997,"Иное","70,29р.","Simons bistro","Vinbaeltet 34","Копенгаген",,"1734","Дания"
10418,"QUICK-Stop","Воронова, Дарья",17-01-1997,14-02-1997,24-01-1997,"Ространс","17,55р.","QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10419,"Richter Supermarkt","Воронова, Дарья",20-01-1997,17-02-1997,30-01-1997,"Почта","137,35р.","Richter Supermarkt","Starenweg 5","Женева",,"1204","Швейцария"
10420,"Wellington Importadora","Бабкина, Ольга",21-01-1997,18-02-1997,27-01-1997,"Ространс","44,12р.","Wellington Importadora","Rua do Mercado, 12","Ресенде","SP","08737-363","Бразилия"
10421,"Que Delicia","Крылова, Анна",21-01-1997,04-03-1997,27-01-1997,"Ространс","99,23р.","Que Delicia","Rua da Panificadora, 12","Рио-де-Жанейро","RJ","02389-673","Бразилия"
10422,"Franchi S.p.A.","Новиков, Павел",22-01-1997,19-02-1997,31-01-1997,"Ространс","3,02р.","Franchi S.p.A.","Via Monte Bianco 34","Турин",,"10100","Италия"
10423,"Gourmet Lanchonetes","Акбаев, Иван",23-01-1997,06-02-1997,24-02-1997,"Иное","24,50р.","Gourmet Lanchonetes","Av. Brasil, 442","Кампинас","SP","04876-786","Бразилия"
10424,"Mere Paillarde","Кралев, Петр",23-01-1997,20-02-1997,27-01-1997,"Почта","370,61р.","Mere Paillarde","43 rue St. Laurent","Монреаль","Quebec","H1J 1C3","Канада"
10425,"La maison d'Asie","Акбаев, Иван",24-01-1997,21-02-1997,14-02-1997,"Почта","7,93р.","La maison d'Asie","1 rue Alsace-Lorraine","Тулуза",,"31000","Франция"
10426,"Galeria del gastrуnomo","Воронова, Дарья",27-01-1997,24-02-1997,06-02-1997,"Ространс","18,69р.","Galeria del gastronomo","Rambla de Cataluna, 23","Барселона",,"8022","Испания"
10427,"Piccolo und mehr","Воронова, Дарья",27-01-1997,24-02-1997,03-03-1997,"Почта","31,29р.","Piccolo und mehr","Geislweg 14","Зальцбург",,"5020","Австрия"
10428,"Reggiani Caseifici","Кралев, Петр",28-01-1997,25-02-1997,04-02-1997,"Ространс","11,09р.","Reggiani Caseifici","Strada Provinciale 124","Реджио-Эмилио",,"42100","Италия"
10429,"Hungry Owl All-Night Grocers","Бабкина, Ольга",29-01-1997,12-03-1997,07-02-1997,"Почта","56,63р.","Hungry Owl All-Night Grocers","8 Johnstown Road","Корк","Co. Cork",,"Ирландия"
10430,"Ernst Handel","Воронова, Дарья",30-01-1997,13-02-1997,03-02-1997,"Ространс","458,78р.","Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10431,"Bottom-Dollar Markets","Воронова, Дарья",30-01-1997,13-02-1997,07-02-1997,"Почта","44,17р.","Bottom-Dollar Markets","23 Tsawassen Blvd.","Тсавассен","BC","T2F 8M4","Канада"
10432,"Split Rail Beer & Ale","Бабкина, Ольга",31-01-1997,14-02-1997,07-02-1997,"Почта","4,34р.","Split Rail Beer & Ale","P.O. Box 555","Лендер","WY","82520","США"
10433,"Princesa Isabel Vinhos","Бабкина, Ольга",03-02-1997,03-03-1997,04-03-1997,"Иное","73,83р.","Princesa Isabel Vinhos","Estrada da saude n. 58","Лиссабон",,"1756","Португалия"
10434,"Folk och fa HB","Бабкина, Ольга",03-02-1997,03-03-1997,13-02-1997,"Почта","17,92р.","Folk och fa HB","Lkergatan 24","Брекке",,"S-844 67","Швеция"
10435,"Consolidated Holdings","Крылова, Анна",04-02-1997,18-03-1997,07-02-1997,"Почта","9,21р.","Consolidated Holdings","Berkeley Gardens
12  Brewery ","Лондон",,"WX1 6LT","Великобритания"
10436,"Blondel pere et fils","Бабкина, Ольга",05-02-1997,05-03-1997,11-02-1997,"Почта","156,66р.","Blondel pere et fils","24, place Kleber","Страсбург",,"67000","Франция"
10437,"Wartian Herkku","Крылова, Анна",05-02-1997,05-03-1997,12-02-1997,"Ространс","19,97р.","Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10438,"Toms Spezialitaten","Бабкина, Ольга",06-02-1997,06-03-1997,14-02-1997,"Почта","8,24р.","Toms Spezialitaten","Luisenstr. 48","Мюнстер",,"44087","Германия"
10439,"Mere Paillarde","Акбаев, Иван",07-02-1997,07-03-1997,10-02-1997,"Иное","4,07р.","Mere Paillarde","43 rue St. Laurent","Монреаль","Quebec","H1J 1C3","Канада"
10440,"Save-a-lot Markets","Воронова, Дарья",10-02-1997,10-03-1997,28-02-1997,"Почта","86,53р.","Save-a-lot Markets","187 Suffolk Ln.","Буа","ID","83720","США"
10441,"Old World Delicatessen","Бабкина, Ольга",10-02-1997,24-03-1997,14-03-1997,"Почта","73,02р.","Old World Delicatessen","2743 Bering St.","Анкоридж","AK","99508","США"
10442,"Ernst Handel","Бабкина, Ольга",11-02-1997,11-03-1997,18-02-1997,"Почта","47,94р.","Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10443,"Reggiani Caseifici","Крылова, Анна",12-02-1997,12-03-1997,14-02-1997,"Ространс","13,95р.","Reggiani Caseifici","Strada Provinciale 124","Реджио-Эмилио",,"42100","Италия"
10444,"Berglunds snabbkop","Бабкина, Ольга",12-02-1997,12-03-1997,21-02-1997,"Иное","3,50р.","Berglunds snabbkop","Berguvsvagen  8","Лулео",,"S-958 22","Швеция"
10445,"Berglunds snabbkop","Бабкина, Ольга",13-02-1997,13-03-1997,20-02-1997,"Ространс","9,30р.","Berglunds snabbkop","Berguvsvagen  8","Лулео",,"S-958 22","Швеция"
10446,"Toms Spezialitaten","Акбаев, Иван",14-02-1997,14-03-1997,19-02-1997,"Ространс","14,68р.","Toms Spezialitaten","Luisenstr. 48","Мюнстер",,"44087","Германия"
10447,"Ricardo Adocicados","Воронова, Дарья",14-02-1997,14-03-1997,07-03-1997,"Почта","68,66р.","Ricardo Adocicados","Av. Copacabana, 267","Рио-де-Жанейро","RJ","02389-890","Бразилия"
10448,"Rancho grande","Воронова, Дарья",17-02-1997,17-03-1997,24-02-1997,"Почта","38,82р.","Rancho grande","Av. del Libertador 900","Буэнос-Айрес",,"1010","Аргентина"
10449,"Blondel pere et fils","Бабкина, Ольга",18-02-1997,18-03-1997,27-02-1997,"Почта","53,30р.","Blondel pere et fils","24, place Kleber","Страсбург",,"67000","Франция"
10450,"Victuailles en stock","Крылова, Анна",19-02-1997,19-03-1997,11-03-1997,"Почта","7,23р.","Victuailles en stock","2, rue du Commerce","Лион",,"69004","Франция"
10451,"QUICK-Stop","Воронова, Дарья",19-02-1997,05-03-1997,12-03-1997,"Иное","189,09р.","QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10452,"Save-a-lot Markets","Крылова, Анна",20-02-1997,20-03-1997,26-02-1997,"Ространс","140,26р.","Save-a-lot Markets","187 Suffolk Ln.","Буа","ID","83720","США"
10453,"Around the Horn","Белова, Мария",21-02-1997,21-03-1997,26-02-1997,"Почта","25,36р.","Around the Horn","Brook Farm
Stratford St. Mary","Колчестер","Essex","CO7 6JX","Великобритания"
10454,"La maison d'Asie","Воронова, Дарья",21-02-1997,21-03-1997,25-02-1997,"Иное","2,74р.","La maison d'Asie","1 rue Alsace-Lorraine","Тулуза",,"31000","Франция"
10455,"Wartian Herkku","Крылова, Анна",24-02-1997,07-04-1997,03-03-1997,"Почта","180,45р.","Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10456,"Koniglich Essen","Крылова, Анна",25-02-1997,08-04-1997,28-02-1997,"Почта","8,12р.","Koniglich Essen","Maubelstr. 90","Бранденбург",,"14776","Германия"
10457,"Koniglich Essen","Новиков, Павел",25-02-1997,25-03-1997,03-03-1997,"Ространс","11,57р.","Koniglich Essen","Maubelstr. 90","Бранденбург",,"14776","Германия"
10458,"Supremes delices","Кралев, Петр",26-02-1997,26-03-1997,04-03-1997,"Иное","147,06р.","Supremes delices","Boulevard Tirou, 255","Шарлеруа",,"B-6000","Бельгия"
10459,"Victuailles en stock","Воронова, Дарья",27-02-1997,27-03-1997,28-02-1997,"Почта","25,09р.","Victuailles en stock","2, rue du Commerce","Лион",,"69004","Франция"
10460,"Folk och fa HB","Крылова, Анна",28-02-1997,28-03-1997,03-03-1997,"Ространс","16,27р.","Folk och fa HB","Lkergatan 24","Брекке",,"S-844 67","Швеция"
10461,"LILA-Supermercado","Белова, Мария",28-02-1997,28-03-1997,05-03-1997,"Иное","148,61р.","LILA-Supermercado","Carrera 52 con Ave. Bolivar #65-98 Llano Largo","Баркисимето","Lara","3508","Венесуэлла"
10462,"Consolidated Holdings","Новиков, Павел",03-03-1997,31-03-1997,18-03-1997,"Ространс","6,17р.","Consolidated Holdings","Berkeley Gardens
12  Brewery ","Лондон",,"WX1 6LT","Великобритания"
10463,"Supremes delices","Кротов, Андрей",04-03-1997,01-04-1997,06-03-1997,"Иное","14,78р.","Supremes delices","Boulevard Tirou, 255","Шарлеруа",,"B-6000","Бельгия"
10464,"Furia Bacalhau e Frutos do Mar","Воронова, Дарья",04-03-1997,01-04-1997,14-03-1997,"Почта","89,00р.","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Лиссабон",,"1675","Португалия"
10465,"Vaffeljernet","Белова, Мария",05-03-1997,02-04-1997,14-03-1997,"Иное","145,04р.","Vaffeljernet","Smagsloget 45","Орхус",,"8200","Дания"
10466,"Comercio Mineiro","Воронова, Дарья",06-03-1997,03-04-1997,13-03-1997,"Ространс","11,93р.","Comercio Mineiro","Av. dos Lusiadas, 23","Сан-Пауло","SP","05432-043","Бразилия"
10467,"Magazzini Alimentari Riuniti","Крылова, Анна",06-03-1997,03-04-1997,11-03-1997,"Почта","4,93р.","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Бергамо",,"24100","Италия"
10468,"Koniglich Essen","Бабкина, Ольга",07-03-1997,04-04-1997,12-03-1997,"Иное","44,12р.","Koniglich Essen","Maubelstr. 90","Бранденбург",,"14776","Германия"
10469,"White Clover Markets","Белова, Мария",10-03-1997,07-04-1997,14-03-1997,"Ространс","60,18р.","White Clover Markets","1029 - 12th Ave. S.","Сиэтл","WA","98124","США"
10470,"Bon app'","Воронова, Дарья",11-03-1997,08-04-1997,14-03-1997,"Почта","64,56р.","Bon app'","12, rue des Bouchers","Марсель",,"13008","Франция"
10471,"B's Beverages","Новиков, Павел",11-03-1997,08-04-1997,18-03-1997,"Иное","45,59р.","B's Beverages","Fauntleroy Circus","Лондон",,"EC2 5NT","Великобритания"
10472,"Seven Seas Imports","Крылова, Анна",12-03-1997,09-04-1997,19-03-1997,"Ространс","4,20р.","Seven Seas Imports","90 Wadhurst Rd.","Лондон",,"OX15 4NB","Великобритания"
10473,"Island Trading","Белова, Мария",13-03-1997,27-03-1997,21-03-1997,"Иное","16,37р.","Island Trading","Garden House
Crowther Way","Cowes","Isle of White","PO31 7PJ","Великобритания"
10474,"Pericles Comidas clasicas","Кротов, Андрей",13-03-1997,10-04-1997,21-03-1997,"Почта","83,49р.","Pericles Comidas clasicas","Calle Dr. Jorge Cash 321","Мехико",,"05033","Мексика"
10475,"Supremes delices","Ясенева, Инна",14-03-1997,11-04-1997,04-04-1997,"Ространс","68,52р.","Supremes delices","Boulevard Tirou, 255","Шарлеруа",,"B-6000","Бельгия"
10476,"HILARION-Abastos","Крылова, Анна",17-03-1997,14-04-1997,24-03-1997,"Иное","4,41р.","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","Сан-Кристобаль","Tochira","5022","Венесуэлла"
10477,"Princesa Isabel Vinhos","Кротов, Андрей",17-03-1997,14-04-1997,25-03-1997,"Почта","13,02р.","Princesa Isabel Vinhos","Estrada da saude n. 58","Лиссабон",,"1756","Португалия"
10478,"Victuailles en stock","Новиков, Павел",18-03-1997,01-04-1997,26-03-1997,"Иное","4,81р.","Victuailles en stock","2, rue du Commerce","Лион",,"69004","Франция"
10479,"Rattlesnake Canyon Grocery","Бабкина, Ольга",19-03-1997,16-04-1997,21-03-1997,"Иное","708,95р.","Rattlesnake Canyon Grocery","2817 Milton Dr.","Альбукерке","NM","87110","США"
10480,"Folies gourmandes","Акбаев, Иван",20-03-1997,17-04-1997,24-03-1997,"Почта","1,35р.","Folies gourmandes","184, chaussee de Tournai","Лилль",,"59000","Франция"
10481,"Ricardo Adocicados","Крылова, Анна",20-03-1997,17-04-1997,25-03-1997,"Почта","64,33р.","Ricardo Adocicados","Av. Copacabana, 267","Рио-де-Жанейро","RJ","02389-890","Бразилия"
10482,"Lazy K Kountry Store","Белова, Мария",21-03-1997,18-04-1997,10-04-1997,"Иное","7,48р.","Lazy K Kountry Store","12 Orchestra Terrace","Уолла-Уолла","WA","99362","США"
10483,"White Clover Markets","Кралев, Петр",24-03-1997,21-04-1997,25-04-1997,"Почта","15,28р.","White Clover Markets","1029 - 12th Ave. S.","Сиэтл","WA","98124","США"
10484,"B's Beverages","Бабкина, Ольга",24-03-1997,21-04-1997,01-04-1997,"Иное","6,88р.","B's Beverages","Fauntleroy Circus","Лондон",,"EC2 5NT","Великобритания"
10485,"LINO-Delicateses","Воронова, Дарья",25-03-1997,08-04-1997,31-03-1997,"Почта","64,45р.","LINO-Delicateses","Ave. 5 de Mayo Porlamar","О-в Маргариты","Nueva Esparta","4980","Венесуэлла"
10486,"HILARION-Abastos","Белова, Мария",26-03-1997,23-04-1997,02-04-1997,"Почта","30,53р.","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","Сан-Кристобаль","Tochira","5022","Венесуэлла"
10487,"Queen Cozinha","Новиков, Павел",26-03-1997,23-04-1997,28-03-1997,"Почта","71,07р.","Queen Cozinha","Alameda dos Canarios, 891","Сан-Пауло","SP","05487-020","Бразилия"
10488,"Frankenversand","Крылова, Анна",27-03-1997,24-04-1997,02-04-1997,"Почта","4,93р.","Frankenversand","Berliner Platz 43","Мюнхен",,"80805","Германия"
10489,"Piccolo und mehr","Акбаев, Иван",28-03-1997,25-04-1997,09-04-1997,"Почта","5,29р.","Piccolo und mehr","Geislweg 14","Зальцбург",,"5020","Австрия"
10490,"HILARION-Abastos","Кралев, Петр",31-03-1997,28-04-1997,03-04-1997,"Почта","210,19р.","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","Сан-Кристобаль","Tochira","5022","Венесуэлла"
10491,"Furia Bacalhau e Frutos do Mar","Крылова, Анна",31-03-1997,28-04-1997,08-04-1997,"Иное","16,96р.","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Лиссабон",,"1675","Португалия"
10492,"Bottom-Dollar Markets","Бабкина, Ольга",01-04-1997,29-04-1997,11-04-1997,"Ространс","62,89р.","Bottom-Dollar Markets","23 Tsawassen Blvd.","Тсавассен","BC","T2F 8M4","Канада"
10493,"La maison d'Asie","Воронова, Дарья",02-04-1997,30-04-1997,10-04-1997,"Иное","10,64р.","La maison d'Asie","1 rue Alsace-Lorraine","Тулуза",,"31000","Франция"
10494,"Comercio Mineiro","Воронова, Дарья",02-04-1997,30-04-1997,09-04-1997,"Почта","65,99р.","Comercio Mineiro","Av. dos Lusiadas, 23","Сан-Пауло","SP","05432-043","Бразилия"
10495,"Laughing Bacchus Wine Cellars","Бабкина, Ольга",03-04-1997,01-05-1997,11-04-1997,"Иное","4,65р.","Laughing Bacchus Wine Cellars","2319 Elm St.","Ванкувер","BC","V3F 2K1","Канада"
10496,"Tradiero Hipermercados","Кралев, Петр",04-04-1997,02-05-1997,07-04-1997,"Почта","46,77р.","Tradicao Hipermercados","Av. Ines de Castro, 414","Сан-Пауло","SP","05634-030","Бразилия"
10497,"Lehmanns Marktstand","Кралев, Петр",04-04-1997,02-05-1997,07-04-1997,"Ространс","36,21р.","Lehmanns Marktstand","Magazinweg 7","Франкфурт",,"60528","Германия"
10498,"HILARION-Abastos","Крылова, Анна",07-04-1997,05-05-1997,11-04-1997,"Почта","29,75р.","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","Сан-Кристобаль","Tochira","5022","Венесуэлла"
10499,"LILA-Supermercado","Воронова, Дарья",08-04-1997,06-05-1997,16-04-1997,"Почта","102,02р.","LILA-Supermercado","Carrera 52 con Ave. Bolivar #65-98 Llano Largo","Баркисимето","Lara","3508","Венесуэлла"
10500,"La maison d'Asie","Акбаев, Иван",09-04-1997,07-05-1997,17-04-1997,"Ространс","42,68р.","La maison d'Asie","1 rue Alsace-Lorraine","Тулуза",,"31000","Франция"
10501,"LINO-Delicateses","Ясенева, Инна",09-04-1997,07-05-1997,16-04-1997,"Ространс","8,85р.","LINO-Delicateses","Ave. 5 de Mayo Porlamar","О-в Маргариты","Nueva Esparta","4980","Венесуэлла"
10502,"Pericles Comidas clasicas","Новиков, Павел",10-04-1997,08-05-1997,29-04-1997,"Ространс","69,32р.","Pericles Comidas clasicas","Calle Dr. Jorge Cash 321","Мехико",,"05033","Мексика"
10503,"Hungry Owl All-Night Grocers","Акбаев, Иван",11-04-1997,09-05-1997,16-04-1997,"Почта","16,74р.","Hungry Owl All-Night Grocers","8 Johnstown Road","Корк","Co. Cork",,"Ирландия"
10504,"White Clover Markets","Воронова, Дарья",11-04-1997,09-05-1997,18-04-1997,"Иное","59,13р.","White Clover Markets","1029 - 12th Ave. S.","Сиэтл","WA","98124","США"
10505,"Mere Paillarde","Бабкина, Ольга",14-04-1997,12-05-1997,21-04-1997,"Иное","7,13р.","Mere Paillarde","43 rue St. Laurent","Монреаль","Quebec","H1J 1C3","Канада"
10506,"Koniglich Essen","Ясенева, Инна",15-04-1997,13-05-1997,02-05-1997,"Почта","21,19р.","Koniglich Essen","Maubelstr. 90","Бранденбург",,"14776","Германия"
10507,"Antonio Moreno Taqueria","Кралев, Петр",15-04-1997,13-05-1997,22-04-1997,"Ространс","47,45р.","Antonio Moreno Taqueria","Mataderos  2312","Мехико",,"05023","Мексика"
10508,"Ottilies Kaseladen","Белова, Мария",16-04-1997,14-05-1997,13-05-1997,"Почта","4,99р.","Ottilies Kaseladen","Mehrheimerstr. 369","Кельн",,"50739","Германия"
10509,"Blauer See Delikatessen","Воронова, Дарья",17-04-1997,15-05-1997,29-04-1997,"Ространс","0,15р.","Blauer See Delikatessen","Forsterstr. 57","Мангейм",,"68306","Германия"
10510,"Save-a-lot Markets","Акбаев, Иван",18-04-1997,16-05-1997,28-04-1997,"Иное","367,63р.","Save-a-lot Markets","187 Suffolk Ln.","Буа","ID","83720","США"
10511,"Bon app'","Воронова, Дарья",18-04-1997,16-05-1997,21-04-1997,"Иное","350,64р.","Bon app'","12, rue des Bouchers","Марсель",,"13008","Франция"
10512,"Familia Arquibaldo","Кралев, Петр",21-04-1997,19-05-1997,24-04-1997,"Почта","3,53р.","Familia Arquibaldo","Rua Oros, 92","Сан-Пауло","SP","05442-030","Бразилия"
10513,"Die Wandernde Kuh","Кралев, Петр",22-04-1997,03-06-1997,28-04-1997,"Ространс","105,65р.","Die Wandernde Kuh","Adenauerallee 900","Штутгарт",,"70563","Германия"
10514,"Ernst Handel","Бабкина, Ольга",22-04-1997,20-05-1997,16-05-1997,"Почта","789,95р.","Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10515,"QUICK-Stop","Новиков, Павел",23-04-1997,07-05-1997,23-05-1997,"Ространс","204,47р.","QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10516,"Hungry Owl All-Night Grocers","Новиков, Павел",24-04-1997,22-05-1997,01-05-1997,"Иное","62,78р.","Hungry Owl All-Night Grocers","8 Johnstown Road","Корк","Co. Cork",,"Ирландия"
10517,"North/South","Бабкина, Ольга",24-04-1997,22-05-1997,29-04-1997,"Иное","32,07р.","North/South","South House
300 Queensbridge","Лондон",,"SW7 1RZ","Великобритания"
10518,"Tortuga Restaurante","Воронова, Дарья",25-04-1997,09-05-1997,05-05-1997,"Почта","218,15р.","Tortuga Restaurante","Avda. Azteca 123","Мехико",,"05033","Мексика"
10519,"Chop-suey Chinese","Акбаев, Иван",28-04-1997,26-05-1997,01-05-1997,"Иное","91,76р.","Chop-suey Chinese","Hauptstr. 31","Берн",,"3012","Швейцария"
10520,"Santu Gourmet","Кралев, Петр",29-04-1997,27-05-1997,01-05-1997,"Ространс","13,37р.","Sante Gourmet","Erling Skakkes gate 78","Ставерен",,"4110","Норвегия"
10521,"Cactus Comidas para llevar","Крылова, Анна",29-04-1997,27-05-1997,02-05-1997,"Почта","17,22р.","Cactus Comidas para llevar","Cerrito 333","Буэнос-Айрес",,"1010","Аргентина"
10522,"Lehmanns Marktstand","Воронова, Дарья",30-04-1997,28-05-1997,06-05-1997,"Ространс","45,33р.","Lehmanns Marktstand","Magazinweg 7","Франкфурт",,"60528","Германия"
10523,"Seven Seas Imports","Кралев, Петр",01-05-1997,29-05-1997,30-05-1997,"Почта","77,63р.","Seven Seas Imports","90 Wadhurst Rd.","Лондон",,"OX15 4NB","Великобритания"
10524,"Blauer See Delikatessen","Белова, Мария",01-05-1997,29-05-1997,07-05-1997,"Почта","244,79р.","Blauer See Delikatessen","Forsterstr. 57","Мангейм",,"68306","Германия"
10525,"Bon app'","Белова, Мария",02-05-1997,30-05-1997,23-05-1997,"Почта","11,06р.","Bon app'","12, rue des Bouchers","Марсель",,"13008","Франция"
10526,"Wartian Herkku","Воронова, Дарья",05-05-1997,02-06-1997,15-05-1997,"Почта","58,59р.","Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10527,"QUICK-Stop","Кралев, Петр",05-05-1997,02-06-1997,07-05-1997,"Ространс","41,90р.","QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10528,"Great Lakes Food Market","Акбаев, Иван",06-05-1997,20-05-1997,09-05-1997,"Почта","3,35р.","Great Lakes Food Market","2732 Baker Blvd.","Юджин","OR","97403","США"
10529,"Maison Dewey","Кротов, Андрей",07-05-1997,04-06-1997,09-05-1997,"Почта","66,69р.","Maison Dewey","Rue Joseph-Bens 532","Брюссель",,"B-1180","Бельгия"
